Feature,Random Forest,Gradient Boosting
year_produced_scaled,0.3668379093498036,0.2985206134632653
year_produced,0.3126780981753512,0.5035954225106739
engine_capacity,0.08068588953148605,0.10132476716578391
engine_capacity_scaled,0.0700634952735146,0.06574240830017825
duration_listed,0.013864300236304411,0.00014420280139011094
odometer_value,0.011987986695931773,0.0002254707581432785
odometer_value_scaled,0.011792089804670843,0.0008432780929404904
number_of_photos,0.011038327051184316,9.82427295111091e-05
up_counter,0.009503532359882601,0.00010413839969978447
manufacturer_name_Volkswagen,0.005463284502302977,0.00428986253537533
manufacturer_name_Mercedes-Benz,0.004719018977060154,0.002759052642780328
manufacturer_name_Audi,0.004455405983184395,0.003602099445751391
manufacturer_name_Skoda,0.0038034442689136834,0.003811086783956831
manufacturer_name_Nissan,0.0026468505589942242,0.003809205214479202
manufacturer_name_Renault,0.0024195103809828383,0.0008013385437009844
manufacturer_name_Ford,0.0020214622612330984,0.00048741525241961976
transmission_mechanical,0.00169247819798002,0.0
body_type_sedan,0.001498001821459269,1.2510142823109707e-05
location_region_Минская обл.,0.0014287944565127431,1.2775480995293568e-05
manufacturer_name_LADA,0.0014104690146433793,0.001741330112911247
color_silver,0.0013714987109395658,4.5979530587038926e-05
manufacturer_name_BMW,0.0013678171785792797,0.0002900119341292714
color_blue,0.0012988349786723845,0.0
manufacturer_name_Toyota,0.0011927484980231717,0.0
body_type_hatchback,0.0011739490440703859,3.5395978664680205e-06
engine_fuel_gasoline,0.0011628167149593165,2.9336950340265303e-06
body_type_universal,0.0011222853205577175,0.0
drivetrain_front,0.001120252833323496,4.8252516248249314e-05
engine_type_gasoline,0.0010880438768656414,3.2942493033870816e-08
manufacturer_name_Dodge,0.0010532205407835773,0.0012436933890274673
color_grey,0.0010384111489400922,0.0
color_white,0.0010358350684741,0.0
manufacturer_name_Opel,0.0010307509665384558,0.0
manufacturer_name_Mazda,0.0010294934049287217,3.870953361330631e-05
body_type_suv,0.0009328566132516694,0.0
color_other,0.0009281665943675329,0.0
manufacturer_name_Citroen,0.0009020863473343857,2.424878377794302e-05
body_type_minivan,0.0008899244259528171,0.0
color_red,0.000859600827604163,0.0
location_region_Гродненская обл.,0.0008555735061690494,0.0
location_region_Гомельская обл.,0.0008528121204831118,1.2731974790349094e-05
drivetrain_rear,0.0008423811329704072,0.0
color_green,0.0008384875396169986,0.0
manufacturer_name_Porsche,0.0008114354379716653,0.001552857158634301
location_region_Могилевская обл.,0.0008029320455092885,0.0
model_name_Golf,0.0007740953622644701,0.0
manufacturer_name_Daewoo,0.0007724374720272068,0.0005927962948069993
location_region_Витебская обл.,0.0007610891070093678,0.0
model_name_Passat,0.0007503979792525611,0.0
manufacturer_name_Saab,0.0007192195904138186,0.0005366014486803846
manufacturer_name_Hyundai,0.0007086826796173049,0.0
manufacturer_name_Land Rover,0.0006489958603611462,0.0005178932935009933
color_brown,0.0005892320642624603,3.665398607724049e-07
manufacturer_name_Kia,0.000588301553563463,0.0
manufacturer_name_ЗАЗ,0.0005758454628815406,0.0005794535748884991
model_name_Cayenne,0.0005697513986131079,0.0
manufacturer_name_Volvo,0.0005563172570548063,0.0
model_name_A6,0.0005507754438937198,0.0
manufacturer_name_Seat,0.0005353033342051617,0.00013266804685928467
model_name_Sprinter,0.0005313734084200318,9.25530163612853e-05
model_name_Mondeo,0.0004956804517209824,0.0
model_name_Ibiza,0.00048610525418908484,0.0
manufacturer_name_Alfa Romeo,0.0004741934594933646,0.0
manufacturer_name_Subaru,0.000472926646760352,7.107613092896824e-07
model_name_Laguna,0.0004622512931867378,0.0
model_name_525,0.00046130063634201694,0.0
manufacturer_name_Jaguar,0.00044518072514605577,0.0005728750761757741
manufacturer_name_Mitsubishi,0.00043204718862413337,0.0
engine_fuel_gas,0.0004212859983683719,0.0
body_type_minibus,0.00041756148763099244,0.0
model_name_A4,0.00040750897347621566,0.0
manufacturer_name_Fiat,0.0003938178097118452,0.0
model_name_C180,0.0003695580428719504,0.0
model_name_323,0.00036739635420325936,0.0
manufacturer_name_Peugeot,0.0003583632889739053,3.520806070199431e-05
model_name_GLA200,0.0003434678034127888,0.0
model_name_626,0.0003424760022899396,0.0
body_type_van,0.00033711435959006054,0.0
model_name_Santa Fe,0.0003360919032133971,0.0
manufacturer_name_Infiniti,0.00033071297768013107,0.00015341349876263254
model_name_Octavia,0.0003194698212335113,0.0
model_name_520,0.0003178189539406659,0.0
manufacturer_name_Suzuki,0.000316151214421748,0.00022597210754383873
manufacturer_name_Rover,0.0003125539627966925,0.0
state_new,0.00030474692054386097,0.0
model_name_308,0.0003032846156308846,4.409858618286396e-05
manufacturer_name_SsangYong,0.0003025979399915705,6.465640606680629e-05
body_type_coupe,0.0003001718517731466,0.0
model_name_Pacifica,0.0002980762295235927,0.0
model_name_156,0.000297760261776009,0.0
model_name_Avensis,0.0002922422094353867,0.0
model_name_Freelander,0.00029058198491538307,0.0
manufacturer_name_Chrysler,0.00028195554343502595,0.0002267945414635956
model_name_Fabia,0.00028112756038507737,0.0
model_name_3,0.0002805630244767311,0.0
model_name_Jetta,0.0002797151704858502,0.0
model_name_CLA200,0.0002784557475463132,7.438704420066994e-05
state_owned,0.0002783082030912308,4.104506449528923e-06
manufacturer_name_Chevrolet,0.0002766276205422369,0.0
model_name_Vito,0.00026855002124456616,0.0
model_name_Camry,0.00026377984349913085,0.0
manufacturer_name_Honda,0.00025911695292803606,0.0
model_name_6,0.00024943484106440035,0.0
color_violet,0.0002487337744660024,0.0
model_name_Altima,0.0002460060872495232,2.3744133027953628e-05
model_name_C5,0.00024399602881456818,0.0
model_name_T4,0.00024153087115156508,0.0
body_type_liftback,0.00023955465946988295,0.0
model_name_Focus,0.00023460848379742668,0.0
model_name_Solaris,0.00023447000121771213,0.0
model_name_Yaris,0.00022744299588227024,0.0
model_name_X5,0.00022439298135016762,0.0
model_name_ML350,0.00022189251173629414,0.0
model_name_Corolla,0.00022150945283158055,0.0
model_name_Land Cruiser,0.0002032050798600209,0.0
model_name_X-Type,0.00020167404498029243,0.0
model_name_Galaxy,0.00019923426532141223,0.0
model_name_B180,0.0001987152370415315,0.0
model_name_320,0.00019462190103750447,0.0
model_name_Accord,0.00019284302427317778,0.0
model_name_80,0.00019191358915951552,0.0
model_name_Corsa,0.00019182155612058,0.0
model_name_Passat CC,0.00019070224007354414,0.0
model_name_Daily,0.00019047405271315908,6.360373539311268e-05
color_yellow,0.00018709660921313557,0.0
manufacturer_name_Geely,0.00018663746823737107,0.0
model_name_Insignia,0.00018446590211808447,0.0
